65,3,50
449,255,438
4,4,10,8
1,11,6,47
13,6,1,18
0,5,8,33
7,6,15,50
2,10,10,43
11,1,3,31
8,7,7,38
2,4,2,17
6,14,12,11
12,2,3,24
7,3,11,11
12,1,4,25
6,14,11,11
9,13,4,38
6,12,6,19
15,4,7,6
11,14,10,50
12,9,5,19
15,9,8,14
4,1,11,20
15,4,8,31
14,8,9,6
11,13,3,39
4,13,3,26
10,4,7,41
7,2,0,3
3,14,6,26
8,13,13,15
5,4,8,18
0,10,11,6
15,1,4,30
9,7,13,12
9,8,11,13
3,6,11,36
10,11,14,27
0,14,1,27
15,5,3,13
8,10,1,13
10,1,4,47
6,9,13,36
1,1,15,20
9,12,14,13
11,8,7,47
4,11,0,6
6,0,1,29
14,1,3,42
4,4,8,43
3,11,12,4
9,7,10,34
1,13,1,15
15,12,9,36
11,13,1,15
2,12,11,25
10,6,10,39
5,3,10,42
7,7,1,6
11,3,4,25
2,1,13,8
14,0,12,18
15,12,12,49
11,2,7,36
3,2,13,39
4,6,1,18
11,2,4,46
