90,3,50
624,143,76
10,4,2,50
6,1,10,26
3,7,10,17
2,5,10,1
6,8,3,26
5,2,3,34
2,3,4,44
6,5,11,18
2,11,1,21
3,5,10,15
3,11,3,19
2,11,6,11
11,9,5,24
5,1,6,46
2,2,6,8
11,5,3,48
7,3,0,29
4,3,11,45
3,11,4,38
0,6,1,35
3,10,7,42
5,7,4,22
5,0,3,19
8,0,11,48
7,7,0,32
5,11,2,33
0,1,11,29
0,4,3,12
1,4,7,9
0,3,7,33
5,0,11,37
7,8,3,50
9,5,1,5
4,5,11,28
5,7,5,10
4,11,10,14
1,4,11,22
2,1,3,3
1,4,1,39
8,7,10,12
6,4,2,15
3,1,9,3
2,11,2,43
2,2,0,38
8,4,0,42
4,1,2,8
10,0,3,46
5,3,5,23
8,8,0,44
5,2,6,39
0,7,2,4
10,1,11,12
1,10,5,47
0,3,10,31
11,10,3,16
4,3,9,22
6,10,0,41
3,3,8,43
10,1,1,14
10,11,1,16
0,4,8,33
1,7,9,31
0,11,6,29
8,3,0,7
5,0,0,22
11,1,0,3
4,11,6,7
0,10,2,36
10,8,11,35
8,1,1,48
9,7,8,1
2,11,2,27
11,11,4,19
4,1,10,35
11,4,7,11
3,1,4,36
6,9,4,31
11,9,7,48
11,10,0,20
9,11,1,34
3,7,10,31
11,11,2,34
6,8,10,18
4,4,6,7
8,11,1,41
9,7,6,30
5,1,8,9
5,7,11,11
1,5,4,21
2,3,4,48
