50,5,50
776,155,31,437,888
13,8,6,7,15,27
8,8,18,16,14,20
12,5,14,11,3,9
5,17,0,2,5,35
20,14,11,20,15,38
10,14,15,12,13,29
2,16,9,6,12,9
16,0,10,15,8,11
4,17,19,15,20,30
19,1,15,11,14,50
13,12,19,6,6,23
20,19,9,10,11,6
20,3,3,6,19,3
5,11,14,11,9,46
4,15,5,18,19,2
7,5,16,19,15,13
12,14,9,4,7,31
8,20,1,3,19,8
5,1,14,17,8,3
8,4,10,13,4,26
13,20,12,18,18,2
14,7,16,6,16,29
9,11,0,14,8,7
3,9,13,7,2,8
11,18,16,1,3,43
2,18,6,12,5,12
10,16,14,14,17,27
16,17,10,3,17,7
1,2,16,2,20,38
18,1,6,3,0,33
7,0,16,18,8,8
20,4,3,8,8,47
8,1,2,7,20,28
5,18,10,12,0,27
16,12,1,18,12,42
14,10,16,7,6,20
2,19,6,6,17,43
8,3,12,10,16,31
15,12,9,4,2,41
16,17,2,20,7,22
10,10,18,5,6,27
1,18,9,9,1,27
15,10,14,7,15,44
8,1,5,2,16,43
4,9,3,8,5,7
1,14,11,20,17,46
6,17,6,5,4,44
8,20,9,14,14,32
15,11,19,20,11,49
4,16,20,7,0,32
