80,6,50
851,439,776,946,996,755
8,12,11,5,6,0,34
6,3,10,9,6,12,21
9,8,9,0,9,10,41
1,8,9,1,5,12,16
8,10,3,5,6,9,25
3,12,8,11,1,8,41
5,10,1,8,6,9,20
2,8,2,7,5,1,13
7,4,0,11,5,5,23
0,3,4,9,3,12,32
10,2,12,5,2,6,18
9,3,4,3,11,5,42
0,11,9,12,11,5,15
9,5,1,2,9,12,40
12,7,2,1,1,8,50
11,11,6,6,3,6,4
2,11,0,4,1,8,35
11,7,4,6,3,4,17
10,8,4,2,9,10,38
7,1,2,1,7,7,9
11,0,4,11,8,1,21
2,1,4,7,3,12,18
3,6,9,10,11,1,50
8,6,3,12,9,8,42
11,5,8,12,6,9,41
2,10,6,9,6,2,2
4,1,4,9,8,10,18
3,6,1,5,6,2,44
5,7,4,6,10,9,8
0,12,4,6,2,3,19
12,8,0,11,4,9,22
4,8,10,12,12,11,17
8,3,2,6,11,11,19
8,6,4,10,2,0,37
8,8,0,4,6,8,7
1,6,1,9,1,11,50
3,10,5,5,6,7,13
8,12,4,3,5,8,28
6,6,10,8,12,12,32
1,5,9,3,1,5,37
4,1,8,3,5,3,32
6,9,9,4,3,5,4
4,9,1,8,7,8,6
7,12,10,12,3,1,27
7,11,1,1,9,0,48
1,4,6,6,1,7,39
7,6,4,5,1,0,7
7,1,2,4,1,3,7
6,3,9,7,8,9,48
11,11,7,8,0,0,41
0,2,5,3,2,5,29
3,2,3,7,2,9,42
6,3,4,0,9,6,48
10,1,5,3,0,12,21
0,10,11,0,11,11,38
3,10,9,11,9,7,37
4,4,5,12,6,2,16
5,8,12,9,2,1,46
1,3,12,0,6,0,33
12,0,7,2,11,2,39
9,8,10,11,5,9,5
8,10,0,2,4,1,33
1,9,0,10,5,5,38
3,7,9,5,1,7,50
2,1,1,1,9,9,40
11,11,3,5,7,1,33
2,2,9,12,6,10,41
1,2,10,7,12,8,22
11,5,7,0,4,6,24
11,8,1,1,9,0,47
9,12,5,8,8,5,48
7,9,1,2,11,11,44
5,8,2,8,5,1,26
12,11,2,9,12,0,47
0,5,8,9,11,4,22
0,2,10,9,2,4,30
8,6,12,6,0,9,8
11,10,8,9,12,2,46
7,12,3,0,11,4,48
12,6,10,3,3,1899,10
