60,5,50
15,117,838,191,412
12,2,1,15,4,25
2,15,10,11,1,17
14,11,11,16,13,49
15,14,15,6,2,1
14,6,4,7,3,9
2,7,4,5,14,31
16,7,7,14,3,28
5,7,6,8,2,30
3,1,1,11,15,21
4,11,15,3,5,22
11,4,14,10,1,38
3,0,9,7,3,25
12,7,7,11,4,33
7,10,16,5,2,38
6,3,15,1,4,18
7,0,2,7,14,0
12,0,3,8,15,35
6,7,1,8,7,8
14,11,4,13,1,45
14,12,14,10,10,46
15,6,13,10,10,36
4,7,0,3,11,43
13,5,2,3,12,44
16,14,6,16,15,8
13,10,8,14,15,47
14,14,15,6,16,18
3,13,16,11,2,26
1,15,2,10,3,35
12,13,5,9,14,7
3,7,9,11,2,3
5,15,7,8,8,4
0,11,9,11,7,30
8,11,8,12,16,7
0,1,10,1,8,7
8,13,2,3,12,12
10,2,13,5,2,12
15,16,15,16,4,35
0,8,4,2,4,8
3,9,12,2,8,28
3,14,15,0,14,30
0,6,2,2,9,15
12,15,14,14,0,5
10,7,15,9,9,21
6,2,6,14,2,40
1,15,3,2,16,10
3,16,5,3,15,34
0,6,14,7,2,33
9,15,7,2,6,8
2,4,8,0,3,7
12,8,9,10,0,22
5,13,10,2,12,36
9,6,7,12,8,49
3,10,6,12,6,14
7,13,2,4,15,34
11,7,10,11,2,37
6,9,7,12,7,26
15,13,10,7,13,15
2,10,6,8,8,34
16,4,10,15,7,46
1,2,9,7,10,26
