100,3,50
650,163,17
4,8,10,18
7,5,0,25
1,3,4,40
2,8,8,33
5,4,1,18
4,6,9,17
1,2,5,12
6,7,4,27
3,6,5,23
10,10,0,34
5,2,3,15
4,3,1,36
8,10,6,15
10,6,2,27
4,0,9,6
6,0,10,28
4,6,5,15
5,2,1,12
9,9,5,37
3,0,2,18
3,10,9,24
3,2,8,5
3,10,8,48
6,5,0,28
3,4,4,12
7,5,1,41
9,6,9,4
5,8,5,7
1,9,4,36
10,9,1,37
6,9,6,46
7,3,6,21
10,7,5,27
1,8,0,8
1,8,0,39
7,2,0,15
4,10,9,35
6,3,2,36
5,7,9,4
3,3,9,35
5,8,10,41
4,8,4,32
5,0,8,3
7,4,8,35
4,7,2,49
9,0,4,27
9,9,7,0
6,3,6,27
10,1,5,29
4,10,6,13
7,2,2,8
7,4,4,41
6,10,10,3
7,3,2,13
0,8,2,1
3,4,5,40
3,10,2,14
0,2,9,12
10,5,9,33
2,10,8,40
4,7,8,40
9,3,7,7
1,0,3,22
8,9,1,46
2,3,3,10
1,9,5,43
1,1,7,50
9,6,3,46
6,0,6,21
5,7,1,29
8,8,10,45
8,3,0,25
9,4,9,2
9,1,5,29
6,6,7,27
5,1,1,5
6,8,0,30
7,9,1,2
1,9,3,22
0,2,3,40
9,9,6,46
3,5,6,23
3,8,6,1
6,7,6,47
4,3,6,43
6,10,8,38
10,7,3,26
4,1,0,8
5,4,1,12
7,8,4,13
9,4,10,6
5,8,7,30
7,5,5,30
4,9,3,23
7,0,10,23
8,6,2,33
9,2,1,23
5,1,7,42
5,8,4,42
7,7,3,22
