70,5,50
975,631,482,649,787
11,3,0,7,6,40
5,13,0,6,1,48
5,6,1,9,11,17
0,14,10,8,12,2
13,10,6,9,7,13
2,12,8,7,7,40
6,14,14,11,1,19
10,5,8,8,4,20
5,0,5,12,8,46
9,2,13,2,3,42
0,7,3,11,0,4
0,5,12,5,12,34
3,13,4,4,9,32
13,10,11,4,1,22
10,3,7,0,9,31
6,0,2,11,7,15
8,13,4,4,14,3
1,10,13,10,12,5
0,10,11,4,12,41
3,9,1,4,8,48
12,4,14,5,14,5
8,12,13,12,11,7
3,14,6,2,6,46
4,4,0,13,12,44
10,4,3,14,10,19
12,3,11,11,8,18
5,14,0,12,14,34
3,7,5,8,4,32
7,8,0,0,12,0
9,14,0,3,0,10
10,7,7,11,4,38
0,8,2,1,4,33
8,3,14,6,1,6
14,3,4,5,14,15
8,14,1,5,14,18
13,2,10,7,8,2
12,1,0,3,5,37
13,8,5,9,0,6
13,11,10,14,6,19
13,9,4,10,12,15
6,5,11,12,5,21
13,4,12,13,11,4
13,6,3,8,2,7
11,13,8,11,9,39
9,1,9,7,4,42
13,10,2,7,11,20
12,2,0,10,6,3
5,14,0,14,1,46
0,7,2,12,9,48
0,2,7,10,5,16
11,5,6,12,2,7
3,12,11,13,11,45
11,14,14,1,3,38
4,13,13,6,5,31
3,6,4,3,11,37
3,8,1,2,6,2
0,6,9,11,11,31
0,7,9,5,6,19
8,7,1,6,3,2
5,6,7,8,4,3
9,7,13,0,3,27
14,10,12,2,4,9
4,7,0,3,12,10
6,10,8,12,3,2
4,6,8,13,1,37
3,6,8,0,1,2
2,11,13,5,2,12
3,8,2,6,0,42
2,10,11,0,5,24
5,7,4,9,1099,3
