45,3,50
365,47,599
8,21,1,24
21,12,13,9
12,13,18,40
5,19,21,19
7,13,21,42
1,18,4,10
13,10,19,1
6,22,15,2
2,4,12,31
5,3,13,25
8,20,6,43
10,14,3,33
2,22,0,40
2,2,8,36
14,0,8,12
21,5,7,44
7,3,21,1
9,4,7,1
0,15,21,9
4,10,3,37
12,3,19,13
9,14,17,31
14,2,11,11
10,19,21,50
17,17,3,41
22,8,6,16
13,1,22,27
18,14,11,20
7,15,15,17
0,8,0,4
2,22,4,25
19,4,2,3
10,6,22,0
22,4,7,31
18,20,6,9
21,16,11,33
11,15,1,27
9,1,22,23
5,20,7,26
9,20,6,46
0,16,11,8
20,9,17,46
5,16,20,15
12,7,14,35
7,12,11,17
