55,5,50
382,527,328,336,925
15,14,3,16,6,11
11,8,18,17,16,10
13,11,18,9,0,36
17,15,1,18,0,35
2,7,17,2,17,34
2,1,9,13,18,14
18,13,3,1,16,41
6,8,17,12,8,50
2,0,15,17,14,37
13,4,4,7,18,44
10,1,2,9,14,36
4,7,16,12,16,27
17,9,18,2,10,6
9,10,17,9,11,13
12,18,2,14,7,9
12,8,11,10,4,0
15,9,10,12,18,23
5,14,16,8,6,8
15,7,7,5,2,45
1,7,2,18,4,38
17,15,1,1,2,29
17,5,6,0,18,45
8,5,14,17,12,50
7,8,11,5,10,21
1,17,2,3,13,30
12,10,5,17,15,43
17,4,8,0,1,14
14,17,9,8,7,49
4,11,2,11,18,20
1,5,17,5,2,46
2,5,10,2,15,16
11,18,5,0,2,36
16,9,10,4,5,44
8,9,4,9,3,26
1,6,16,5,18,41
16,7,17,12,15,2
16,6,14,5,0,20
3,16,11,16,3,28
7,16,8,6,16,18
7,5,1,9,11,9
3,13,1,5,6,15
10,0,6,0,9,37
8,6,12,8,1,47
12,1,4,6,4,17
5,17,14,9,0,49
12,5,9,15,2,29
4,14,6,17,11,12
1,9,4,3,10,9
15,16,14,10,10,19
11,5,9,10,0,40
6,18,2,16,14,45
13,9,2,4,5,11
3,11,5,15,0,17
0,17,11,11,13,2
10,0,18,17,33,12
