100,5,50
926,500,143,414,374
9,5,9,3,5,32
0,1,5,7,10,35
7,2,1,3,2,10
4,2,3,2,4,42
8,5,4,2,9,27
5,5,10,4,10,15
0,9,6,4,10,30
3,5,5,9,6,12
6,4,2,10,6,24
6,4,6,7,2,2
9,8,3,3,9,40
3,10,7,6,1,13
4,0,7,10,5,17
8,2,5,1,0,44
10,5,4,4,3,33
7,9,0,10,2,27
8,3,5,10,5,49
10,3,0,3,7,50
5,6,2,6,0,2
7,9,0,2,6,29
6,0,6,2,2,40
1,8,9,2,7,41
9,2,3,4,2,50
6,0,5,5,10,20
3,3,9,2,3,11
1,10,1,6,7,45
7,3,7,9,0,13
10,9,10,9,10,24
9,8,4,4,10,23
10,10,4,9,7,22
5,6,2,4,6,45
4,2,0,10,4,2
3,2,9,4,2,50
6,6,3,6,8,17
8,3,5,4,3,36
5,4,6,8,5,34
5,0,7,1,8,49
5,1,8,7,10,18
6,2,4,5,5,26
2,3,6,4,0,41
10,9,5,5,6,20
5,3,6,9,3,37
4,6,5,8,4,40
0,5,4,4,7,38
7,4,9,9,1,6
3,6,3,0,8,3
4,7,2,6,3,49
10,2,0,7,4,48
10,0,2,8,8,32
8,10,8,6,6,1
9,5,3,9,3,39
10,9,9,5,6,32
4,3,9,6,4,32
1,4,6,1,9,12
8,10,7,4,9,29
0,3,7,0,2,11
7,9,5,3,8,29
2,8,0,4,7,43
6,10,10,0,10,47
3,8,5,5,1,50
8,2,4,0,8,38
3,7,4,8,4,44
10,4,4,6,9,50
4,8,10,7,5,7
9,3,5,1,0,27
3,4,6,3,7,16
0,4,2,0,3,38
6,0,5,1,10,12
2,7,3,10,8,27
2,4,1,2,1,46
2,9,6,9,3,50
10,9,8,6,7,11
1,3,6,6,7,22
0,8,7,0,4,30
3,7,3,8,7,33
7,0,4,2,8,21
6,2,4,9,5,23
8,2,6,8,7,1
5,6,7,10,4,1
8,1,7,1,7,22
1,9,2,4,1,27
4,2,4,3,2,8
7,7,9,7,5,31
10,7,5,4,4,8
9,2,7,7,3,6
8,6,2,8,6,41
7,10,7,2,7,1
4,6,8,7,1,36
5,0,10,6,4,25
9,3,4,6,6,22
10,2,2,8,6,22
4,9,5,1,8,5
0,9,6,3,10,26
6,1,2,2,2,17
10,10,8,3,1,2
4,2,1,8,6,18
10,2,10,0,0,9
2,8,3,4,0,1
9,8,0,9,3,15
9,6,6,4,4,19
