80,3,50
918,905,939
9,2,10,24
1,11,12,43
7,4,12,0
7,1,8,18
0,0,5,22
10,2,7,10
0,2,12,5
2,10,3,38
0,0,11,42
12,0,5,38
8,6,7,28
1,10,2,26
10,1,9,27
4,8,9,45
12,11,6,31
0,6,8,48
1,7,3,19
6,0,9,34
1,2,0,11
11,8,10,39
9,12,8,29
3,6,0,47
7,3,9,3
8,11,12,13
9,9,3,47
1,9,3,37
11,2,9,35
9,12,9,37
5,5,10,41
0,11,9,2
5,10,9,48
11,0,6,7
8,8,11,11
9,2,1,11
3,3,1,8
4,2,8,8
1,6,11,48
3,6,0,32
3,3,5,31
0,0,9,11
0,2,2,49
1,0,12,34
6,9,6,36
6,12,11,29
4,9,11,33
10,8,0,42
9,0,10,21
2,6,5,44
1,11,5,13
7,10,8,40
2,8,8,48
11,1,10,10
5,1,10,28
6,0,6,48
8,2,3,8
3,7,5,8
6,5,4,38
11,0,6,26
11,1,10,43
12,7,10,21
3,6,1,11
5,9,6,26
8,0,9,30
12,0,10,41
4,3,0,48
5,6,11,22
10,1,3,48
7,1,3,18
5,3,7,9
10,4,7,37
7,5,3,46
9,10,6,42
0,5,12,45
4,1,8,20
6,4,6,31
6,6,7,17
0,6,1,21
10,7,1,27
1,6,4,14
3,11,1383,18
