30,6,50
142,124,116,952,845,711
2,7,23,18,23,33,36
25,16,31,16,9,13,25
4,6,17,21,4,10,9
20,13,3,21,13,25,7
1,3,25,3,30,32,19
0,20,32,3,1,29,36
4,1,2,30,28,0,20
25,15,12,18,25,17,17
5,19,33,24,14,19,24
26,0,32,31,12,20,14
5,19,11,23,22,14,7
3,25,9,22,6,8,10
8,18,31,3,12,30,9
13,6,26,10,20,27,19
27,1,20,4,3,9,24
13,7,17,10,0,27,15
2,19,4,31,21,8,2
10,19,5,33,33,2,16
5,18,1,18,30,22,37
13,0,20,0,30,32,27
12,10,12,29,19,28,15
28,7,0,32,5,14,7
26,10,12,1,21,11,14
15,1,15,19,2,28,33
23,19,9,33,31,2,34
30,6,9,30,0,23,22
2,20,29,7,25,4,3
24,26,31,1,15,4,40
16,28,33,20,9,12,13
31,4,7,19,22,80,5
