55,4,50
648,964,823,36
10,13,13,5,32
1,15,16,4,2
6,16,11,4,33
7,13,13,18,44
11,9,14,14,13
10,8,16,11,16
17,11,18,0,37
13,11,11,0,30
5,2,18,5,38
10,9,5,9,32
11,15,6,2,46
15,6,13,5,27
9,7,16,0,48
18,11,2,5,9
2,4,8,13,30
2,2,15,2,11
11,8,17,9,46
10,0,11,4,28
14,9,9,6,27
14,18,3,6,10
1,2,12,0,20
11,11,0,12,19
3,16,16,14,5
6,15,14,4,9
13,16,17,6,25
10,5,8,6,47
9,2,0,2,33
0,8,14,14,48
12,9,13,18,29
1,3,10,12,1
9,12,7,13,32
5,0,3,11,33
7,4,13,5,37
16,9,12,4,12
17,4,11,4,18
3,1,14,5,31
3,9,17,5,9
8,15,7,7,1
1,18,12,8,8
15,18,6,0,36
10,1,0,9,34
5,8,15,1,9
4,12,3,6,15
5,10,18,11,36
12,5,4,15,11
7,2,3,7,37
15,14,9,7,1
13,15,10,3,15
9,15,12,4,11
11,2,10,9,32
10,9,2,8,21
18,3,7,3,48
3,0,1,1,16
7,13,16,10,4
17,3,14,572,39
