35,4,50
919,604,982,186
2,15,1,6,11
13,6,6,4,23
28,26,5,5,48
12,15,13,21,7
3,6,25,26,34
6,26,18,14,23
23,8,5,0,29
21,14,25,0,32
5,26,6,8,12
15,18,27,0,44
15,22,2,8,27
2,1,25,21,14
26,4,16,23,11
15,1,23,5,39
3,4,10,18,47
18,27,28,27,38
18,9,6,16,11
0,13,19,21,44
8,2,13,23,1
5,7,20,7,32
20,23,18,26,42
26,10,19,6,38
28,13,15,17,0
7,1,15,3,14
2,10,5,7,27
10,12,2,25,0
19,1,1,13,46
5,6,17,18,4
21,15,15,24,24
21,9,17,25,46
9,14,9,17,23
5,23,7,13,45
18,27,1,12,33
8,27,15,9,19
6,9,15,866,18
