75,4,50
581,520,336,368
5,6,10,0,38
2,2,3,2,32
13,10,0,8,11
7,5,1,3,32
9,9,3,4,7
2,8,13,11,22
5,4,12,11,4
8,4,8,5,12
9,3,13,9,40
4,3,1,10,21
5,5,8,2,8
6,3,0,1,11
8,10,4,8,34
5,2,8,10,4
2,12,10,9,45
6,9,6,7,24
2,11,13,7,4
13,10,7,7,30
3,0,11,8,16
6,12,8,9,0
3,0,2,11,2
5,0,7,0,5
11,3,1,11,50
12,12,5,8,11
8,8,12,12,37
7,5,6,0,6
11,10,9,3,33
5,12,12,3,40
4,13,2,11,9
12,7,12,13,19
13,7,7,4,41
7,13,6,1,38
12,2,9,4,32
10,2,12,6,1
11,7,2,0,45
3,12,8,10,2
0,8,5,5,12
3,7,11,1,10
0,8,13,0,43
6,1,8,8,12
0,8,4,7,1
2,1,7,12,12
13,9,11,7,26
10,9,3,2,2
10,1,8,6,10
3,10,5,1,15
11,0,12,7,6
10,12,2,12,6
6,2,13,4,17
10,3,6,9,7
4,11,1,10,4
10,0,8,11,3
0,3,5,7,25
3,0,5,9,35
4,8,5,13,18
1,10,4,2,3
2,2,13,0,34
8,6,13,10,33
0,13,2,10,46
2,2,4,1,34
3,13,12,6,29
5,3,10,0,23
3,9,6,4,30
1,13,0,10,1
3,8,8,9,47
8,2,7,4,34
12,0,1,5,44
13,0,4,2,24
9,7,2,3,36
4,4,10,9,37
7,12,12,9,22
2,7,2,1,17
6,1,9,9,42
10,8,3,3,25
13,4,3,8,18
