75,3,50
897,218,604
5,3,3,49
11,0,9,44
1,3,9,33
6,10,1,45
4,7,12,8
3,9,7,48
13,8,1,30
13,1,13,43
3,11,12,43
9,3,6,36
11,0,8,34
7,4,11,3
5,12,4,3
5,7,1,41
7,7,12,23
11,1,1,19
4,3,8,42
0,3,13,22
10,7,11,45
9,4,8,28
5,4,3,47
0,4,3,33
5,2,1,4
2,13,12,33
8,3,4,39
6,1,3,8
8,13,1,7
2,12,9,39
13,0,6,6
9,0,3,10
11,10,3,0
12,3,4,22
11,6,4,27
12,2,10,15
7,8,13,11
6,2,7,17
1,10,0,2
3,13,0,27
6,12,10,41
4,10,12,37
5,13,1,27
1,9,1,50
2,8,9,50
0,9,9,34
8,4,6,30
8,7,9,48
6,9,13,4
13,1,7,44
1,12,0,36
11,12,6,35
1,0,4,15
2,2,10,50
4,13,10,10
2,5,13,23
12,11,10,24
13,10,6,21
5,11,11,22
12,13,7,5
1,0,12,0
13,7,4,10
0,9,13,13
13,6,1,48
8,4,0,30
5,7,4,10
7,0,5,35
11,6,7,33
5,6,0,0
11,10,0,2
12,11,12,15
5,12,13,49
9,1,0,28
5,2,2,42
1,1,4,48
9,4,7,30
1,13,276,10
