95,5,50
237,651,307,861,453
6,3,3,8,3,10
6,5,5,8,9,6
10,8,8,9,9,22
8,2,4,0,2,44
4,9,0,1,7,20
9,0,5,5,5,6
1,4,10,0,3,32
2,0,6,0,8,27
9,3,0,7,5,34
0,3,8,10,3,40
1,8,9,6,4,25
1,0,0,1,8,43
3,10,5,2,8,9
1,4,5,10,5,16
9,8,10,5,8,34
4,7,5,2,5,49
8,2,0,5,10,15
3,3,2,1,2,34
6,5,10,1,4,19
7,9,6,8,7,34
2,3,1,0,0,28
5,4,10,3,1,20
3,3,6,3,4,28
4,4,8,9,1,21
3,10,3,4,0,42
6,9,1,5,7,35
3,10,0,6,4,23
9,5,6,3,6,7
0,4,7,7,6,49
4,3,9,4,5,38
7,7,1,10,3,46
6,1,10,6,7,1
6,2,1,10,1,33
1,9,5,3,6,27
10,1,5,0,0,4
7,1,0,3,6,45
2,0,8,10,4,27
9,4,1,2,0,39
4,9,8,7,1,43
3,5,1,5,9,25
6,3,6,0,7,14
10,5,7,7,6,36
8,1,2,8,1,5
9,5,4,0,1,37
5,10,2,9,5,45
8,4,9,4,5,43
4,2,0,7,5,20
6,2,5,7,9,22
0,3,6,5,6,39
3,8,1,6,0,42
4,9,4,3,7,14
8,5,9,6,8,10
6,4,6,6,10,37
8,10,9,9,3,13
9,0,6,1,10,25
9,1,4,7,7,19
5,1,1,7,1,32
5,5,8,2,10,36
10,7,0,2,7,7
6,10,4,8,0,22
5,3,2,8,0,6
6,0,4,6,0,32
0,0,9,5,4,17
4,2,7,1,3,33
9,9,1,0,10,16
5,1,9,8,0,33
10,1,8,8,1,2
7,1,9,6,10,4
6,10,8,1,4,32
2,4,0,9,2,46
8,2,4,9,9,20
2,6,0,10,7,19
10,7,2,9,7,7
1,5,6,0,4,28
4,1,2,7,0,29
4,9,0,1,7,17
9,3,3,4,1,2
7,0,6,2,5,36
7,0,1,10,8,16
0,3,1,10,7,20
1,0,5,10,2,7
5,9,7,3,2,7
2,4,0,2,6,46
4,2,2,7,9,40
8,5,7,0,0,48
6,7,7,1,7,16
5,8,0,10,10,43
0,5,3,4,9,32
0,0,6,10,0,34
9,8,9,3,4,32
9,0,0,7,3,19
5,0,6,1,5,44
6,3,5,1,5,30
10,6,4,4,4,6
4,4,7,5,239,15
