80,3,50
94,245,725
8,2,10,31
2,3,3,31
10,8,8,49
6,12,5,27
12,4,2,10
10,3,2,48
0,9,5,32
12,8,6,40
7,3,4,26
9,8,7,9
9,0,8,2
0,0,1,50
12,0,6,42
10,12,7,15
6,10,0,11
12,8,7,41
0,9,0,18
1,5,7,14
12,3,10,26
3,9,10,5
7,12,7,43
12,9,7,21
5,9,11,15
10,4,10,13
11,8,8,32
0,1,0,12
4,6,10,42
9,10,9,48
3,8,5,34
3,10,7,11
10,7,0,50
12,5,10,27
10,9,9,36
5,5,1,30
11,1,9,11
5,7,9,40
3,10,7,33
1,9,10,14
12,8,8,12
11,10,9,11
7,1,11,17
2,10,0,0
12,12,12,45
0,9,1,49
9,2,4,23
0,3,2,15
2,1,0,22
7,3,0,50
2,3,6,10
0,11,0,11
4,7,5,20
9,3,7,50
3,5,3,11
7,9,2,8
9,7,12,43
6,3,4,7
3,12,10,17
5,8,0,8
0,1,11,11
11,10,10,50
11,2,4,22
2,4,4,42
2,1,2,31
8,9,5,9
7,10,1,35
5,5,9,22
7,12,1,34
0,11,4,15
7,0,1,50
0,4,11,23
2,8,0,15
1,2,9,10
12,3,9,30
7,9,8,36
11,4,12,26
1,3,4,41
4,7,6,31
12,4,6,42
2,7,1,16
5,2,6,23
