60,3,50
429,794,667
16,16,0,30
15,11,7,48
2,7,5,30
4,14,8,3
2,2,13,49
16,9,5,43
13,2,2,28
10,7,6,12
13,6,4,23
6,8,7,46
15,5,6,25
10,15,1,38
2,11,12,14
11,5,13,37
1,1,0,29
0,7,1,47
13,8,16,36
16,0,7,24
14,9,1,26
10,3,0,12
10,6,12,37
5,4,0,18
5,2,9,38
13,10,8,8
11,4,11,27
15,2,3,35
7,1,4,24
11,8,12,42
6,5,12,3
2,5,0,49
4,3,4,12
0,15,1,31
1,10,11,9
0,6,14,45
16,1,7,45
12,0,1,7
5,7,6,29
1,12,10,26
2,11,12,14
8,11,1,17
8,13,15,23
2,15,1,11
8,12,4,38
2,4,12,4
0,9,15,30
6,3,10,43
7,11,11,35
5,11,4,34
9,16,1,41
13,15,5,10
14,6,1,9
0,3,8,22
12,7,7,4
1,14,12,7
4,11,1,47
14,16,12,40
4,8,15,9
7,14,0,7
10,0,0,45
4,0,594,14
