35,6,50
701,507,155,326,686,423
26,1,17,20,1,21,26
14,23,11,17,12,12,12
12,3,3,22,2,18,46
19,13,22,20,2,11,43
12,5,9,15,5,2,36
17,14,17,11,1,21,17
15,16,9,2,10,1,6
1,22,12,5,0,15,37
9,11,22,10,28,8,2
2,13,21,4,15,13,16
27,13,14,4,25,5,45
11,18,17,10,14,24,50
22,20,28,1,22,15,44
16,27,2,2,9,0,31
28,13,12,13,6,6,32
1,17,23,22,9,24,32
11,23,3,20,11,28,12
15,1,7,5,14,9,20
21,19,20,16,15,6,4
23,4,25,25,25,26,46
18,23,0,16,20,6,41
20,0,10,7,22,19,49
10,20,23,26,18,0,31
28,12,11,5,6,25,3
13,23,23,15,3,0,36
1,26,0,11,19,7,45
7,24,20,9,13,22,14
14,20,6,17,15,16,14
4,1,16,12,25,7,0
16,12,16,6,9,10,28
20,10,7,17,0,22,18
16,7,23,10,17,24,1
10,28,15,1,13,4,48
6,4,28,20,7,28,26
5,23,23,12,3,12,6
