5,4,50,,,,,,,,,,,,,
6,520,858,968,,,,0,0,0,0,,,,,
69,161,39,183,42,,,0,0,0,0,42,1,452,124,19108
63,153,32,182,48,,,0,125,0,0,48,1,305,91,14731
53,127,149,135,14,,,0,0,0,0,14,1,464,53,6549
143,192,197,151,1,,,0,0,0,0,1,1,683,137,820
196,95,59,98,28,,,0,0,0,0,28,1,448,196,12740
,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,
,,,,,i=1,k=1,,,,,,,,,
,,,,,,k=2,,106,,,,,,,
,,,,,,k=3,,,39,,,,,,
,,,,,,k=4,69,55,,183,,,,,
,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,
,,,,,i=2,k=1,,,,,,,,,
,,,,,,k=2,,,,,,,,,
,,,,,,k=3,,,32,,,,,,
,,,,,,k=4,63,28,,182,,,,,
,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,
,,,,,i=3,k=1,,,,,,,,,
,,,,,,k=2,,127,,,,,,,
,,,,,,k=3,53,,149,,,,,,
,,,,,,k=4,,,,135,,,,,
,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,
,,,,,i=4,k=1,6,,,,,,,,
,,,,,,k=2,,192,,,,,,,
,,,,,,k=3,137,,197,,,,,,
,,,,,,k=4,,,,151,,,,,
,,,,,,,,,,,,,,,
,,,,,,,w=1,w=2,w=3,w=4,,,,,
,,,,,i=5,k=1,,,,,,,,,
,,,,,,k=2,,95,,,,,,,
,,,,,,k=3,192,,59,,,,,,
,,,,,,k=4,4,,,98,,,,,
