55,4,50
448,498,667,375
5,5,13,13,14
3,3,0,9,4
4,12,1,17,30
14,7,15,15,14
12,2,17,3,19
7,17,15,4,12
9,12,0,16,7
6,5,3,11,30
10,13,0,2,6
0,0,6,16,0
12,13,11,12,36
14,11,0,11,37
6,13,9,3,18
3,6,11,9,38
9,12,14,3,39
16,11,4,12,41
10,17,14,17,17
9,10,5,12,13
1,9,12,13,36
2,9,0,7,16
18,11,16,18,2
5,8,7,8,2
6,0,1,7,0
7,2,10,2,46
14,2,16,16,16
5,17,2,4,18
13,13,0,7,28
16,14,13,4,15
15,18,10,17,20
14,2,10,3,21
16,11,0,11,37
14,0,12,2,10
14,7,11,3,43
7,1,8,13,10
0,5,16,4,32
13,14,9,4,18
0,10,9,1,35
10,0,8,4,40
12,4,15,8,30
15,10,5,18,37
5,11,8,14,22
4,10,11,11,20
2,7,8,17,41
10,0,7,15,7
10,8,14,5,10
13,0,17,2,30
5,6,12,8,28
14,0,0,18,30
4,2,15,3,47
8,5,1,6,43
2,9,6,13,5
8,5,9,17,7
16,9,13,11,10
18,8,2,18,27
18,9,15,77,8
