35,5,50
834,541,423,63,252
7,11,27,28,28,4
14,10,27,4,22,36
24,18,16,25,20,2
9,5,18,2,13,11
16,18,26,2,6,37
9,1,18,24,23,29
27,10,12,25,7,28
25,5,2,13,27,36
28,5,14,17,1,3
16,6,4,20,8,13
27,13,4,18,18,0
17,22,12,3,17,5
17,26,28,13,22,20
22,12,25,7,19,28
28,24,4,20,11,28
2,22,25,27,8,21
20,11,18,28,7,33
24,8,4,22,14,5
17,13,14,5,26,9
6,24,23,24,19,3
13,4,25,4,6,34
22,3,8,19,7,44
7,25,7,11,0,46
7,11,11,9,26,45
9,10,23,19,18,2
0,2,8,26,25,9
3,15,27,26,20,36
14,23,21,9,10,4
7,16,15,0,14,2
27,20,6,5,14,39
8,13,4,9,24,45
4,6,10,28,14,27
22,15,9,13,5,45
23,11,10,18,22,1
3,13,27,11,16,5
