55,3,50
426,606,540
0,10,15,16
13,17,4,39
5,3,12,36
5,15,17,10
5,7,16,45
6,10,6,40
0,10,1,11
12,11,12,36
7,3,14,46
18,6,6,33
6,6,17,30
7,0,18,19
7,17,13,23
0,9,13,5
5,8,4,48
1,13,17,39
0,2,9,20
6,11,2,22
4,11,15,50
4,12,12,13
5,10,15,20
3,1,16,25
5,10,8,49
9,1,18,3
0,17,9,23
3,2,14,14
9,18,14,41
13,7,2,18
4,14,16,28
0,11,6,23
7,4,5,8
0,8,13,12
12,1,9,33
7,14,10,25
5,15,3,48
2,8,15,45
8,6,15,37
7,17,13,8
3,8,7,21
2,4,1,29
3,10,5,24
4,8,16,7
1,1,10,37
17,1,17,38
2,17,3,11
8,15,1,2
17,14,12,27
5,0,11,29
4,5,5,24
5,15,13,23
7,17,11,23
0,14,1,27
1,13,12,9
12,10,12,7
8,10,195,38
