80,3,50
852,762,899
3,2,8,44
11,7,0,21
8,7,0,29
2,6,2,29
6,11,6,41
2,6,5,49
7,1,0,39
7,7,6,35
4,0,7,1
2,2,5,41
11,7,5,2
10,4,7,15
9,0,0,39
9,5,8,18
5,0,3,18
11,10,4,48
12,6,7,13
8,7,0,28
2,3,9,28
3,3,9,28
12,1,1,16
11,8,6,0
1,9,12,24
8,8,1,10
2,12,10,41
12,0,9,24
1,9,12,22
4,0,0,24
8,8,9,21
5,1,11,5
3,2,7,48
5,7,6,40
9,0,5,48
3,2,11,10
4,10,7,27
1,4,3,30
3,0,6,6
7,8,2,31
7,11,6,4
10,0,5,41
8,12,12,48
1,9,1,2
1,5,9,8
7,7,12,5
0,2,5,24
2,2,8,40
1,12,2,13
7,11,9,33
3,7,10,31
2,4,3,7
12,5,10,34
6,6,3,26
12,2,10,24
9,10,0,7
2,7,0,41
3,7,3,22
4,6,10,11
5,1,6,20
4,7,2,24
10,6,1,6
10,7,8,37
6,12,1,21
1,0,6,8
4,0,11,3
10,0,9,31
7,1,4,48
4,12,12,22
6,9,3,21
5,3,10,16
2,7,10,9
8,9,6,34
8,1,0,10
5,10,1,31
10,9,1,10
5,9,11,23
9,9,5,36
5,5,5,41
12,1,5,36
12,5,0,39
6,12,1144,14
