75,5,50
67,908,591,95,262
4,1,12,3,13,28
11,3,5,12,7,0
12,3,7,7,7,38
7,7,4,1,11,27
9,10,1,6,6,13
6,8,4,13,5,25
13,5,4,8,1,12
12,4,5,2,4,36
11,8,1,13,9,46
11,9,12,1,5,24
11,12,11,6,2,21
9,5,10,4,0,40
12,8,5,7,13,19
10,13,4,0,13,2
10,5,3,5,0,36
1,3,0,4,12,7
13,3,13,0,10,20
11,11,3,10,0,9
4,5,1,11,12,5
4,4,2,5,8,18
4,13,6,11,10,34
8,12,10,9,2,14
2,12,11,7,1,3
11,12,7,8,9,22
4,0,0,0,13,23
9,2,1,2,10,0
7,12,12,2,10,43
10,3,3,0,12,33
11,7,0,13,7,43
12,3,10,4,12,47
4,1,8,12,0,12
4,13,8,7,6,17
0,9,8,8,7,0
10,7,3,3,6,31
1,1,0,5,0,15
13,0,8,2,11,35
4,5,2,1,0,28
10,0,6,3,13,13
5,1,3,4,6,17
5,8,0,10,7,43
3,12,6,10,6,47
9,4,10,8,9,22
2,1,9,1,11,10
2,5,9,6,3,18
13,7,6,4,0,20
3,4,4,4,4,47
13,10,9,13,4,48
9,3,5,5,6,12
6,3,4,0,11,2
6,3,9,6,2,27
6,7,1,10,13,38
7,5,13,0,1,29
9,7,2,8,6,19
3,6,2,1,13,1
8,2,13,0,7,8
7,0,4,0,13,41
3,4,0,0,11,24
0,12,5,0,0,30
4,2,11,7,4,8
2,6,4,0,12,24
6,10,3,4,5,38
4,12,4,0,1,49
9,9,0,11,1,0
3,0,8,10,2,25
5,7,7,10,3,7
10,12,5,11,4,45
5,10,1,7,1,24
5,3,2,10,3,28
11,13,11,0,1,2
10,7,6,7,10,21
3,2,0,12,8,15
4,9,5,0,10,8
0,0,12,13,12,33
5,7,8,0,2,31
11,13,7,5,12,3
