85,4,50
462,937,44,130
3,4,4,11,47
1,7,3,8,34
9,10,1,9,13
0,4,9,3,24
2,3,5,3,46
7,0,9,0,34
5,8,5,2,22
8,9,11,7,37
3,1,9,0,26
9,8,4,2,4
8,10,7,10,20
0,7,0,0,18
10,5,7,4,48
10,7,8,11,43
0,4,3,3,34
8,4,2,7,20
0,2,9,1,20
4,5,10,9,28
2,3,7,9,18
11,10,3,9,5
10,0,7,0,41
0,3,10,7,45
0,3,9,4,24
1,3,0,5,46
8,9,11,1,1
5,8,8,2,36
11,9,5,9,30
8,8,9,6,39
5,8,1,3,39
4,11,0,5,43
6,1,5,9,28
4,4,1,4,13
6,8,9,6,34
7,6,5,1,33
10,3,1,2,47
2,11,5,0,4
5,0,4,2,6
7,9,2,5,26
6,4,5,1,4
6,1,8,4,19
7,4,8,6,19
3,8,7,7,43
9,2,4,11,49
7,4,1,0,16
4,3,0,5,35
3,6,5,6,49
6,2,3,3,36
3,2,2,2,24
6,0,6,1,30
8,11,10,10,39
0,6,10,4,15
2,10,2,8,42
8,9,2,2,49
5,7,10,10,47
7,11,9,9,8
11,10,4,4,45
9,7,11,4,22
6,4,6,8,1
6,8,10,1,46
7,4,10,8,0
4,11,4,0,20
11,9,10,7,20
6,1,10,7,21
5,5,8,11,28
2,5,5,4,14
8,8,8,0,26
3,9,9,10,8
5,2,11,11,20
1,3,10,9,1
2,6,3,10,36
1,9,7,8,46
7,0,4,11,46
3,3,3,9,34
5,1,1,4,13
8,6,4,9,11
3,8,9,7,43
2,1,9,1,48
5,2,10,0,13
7,9,10,10,40
3,7,1,11,5
10,10,10,0,33
2,7,1,6,7
2,10,1,3,8
8,8,11,0,38
5,4,8,9,28
