80,4,50
835,4,661,659
1,11,6,7,15
5,5,12,8,16
7,9,2,2,26
2,3,8,2,4
9,12,8,11,7
6,10,3,12,12
12,7,9,5,4
6,4,12,9,5
8,7,10,9,41
2,4,12,8,29
12,0,9,3,3
3,12,9,11,27
4,9,5,5,49
2,2,4,12,19
11,9,11,2,14
9,8,3,12,35
8,2,12,8,10
10,5,10,10,4
6,4,11,4,0
11,6,2,8,8
7,0,8,3,11
6,1,9,8,29
1,11,0,8,18
0,6,6,2,7
10,3,4,4,28
12,4,5,6,14
12,6,5,1,16
9,10,3,10,33
11,11,11,1,39
7,10,12,2,50
8,2,2,11,8
1,8,10,2,26
8,8,2,2,39
6,3,4,9,34
11,4,4,2,1
8,4,2,11,26
5,7,11,8,5
11,4,8,11,37
12,9,8,10,6
12,9,8,12,4
4,8,8,9,42
4,2,7,2,42
8,5,9,5,23
0,9,1,12,33
5,10,5,5,22
2,8,11,9,48
4,7,10,6,8
9,2,6,7,3
12,0,9,4,23
12,2,7,1,25
12,3,10,4,34
9,7,2,11,43
0,8,5,11,6
7,6,8,7,30
7,7,7,5,2
1,0,4,12,36
1,3,5,1,5
6,12,2,5,8
2,1,6,2,40
10,5,9,5,22
1,10,7,8,49
9,5,3,3,34
9,11,5,10,40
11,8,0,5,42
1,8,0,11,40
7,8,4,5,37
9,1,9,7,31
6,4,4,0,29
12,7,6,10,40
8,8,1,10,29
2,7,1,12,39
7,7,9,5,20
2,11,12,8,0
0,9,5,6,40
6,2,2,9,28
6,6,0,11,14
12,1,1,10,36
7,1,6,1,49
1,3,3,4,35
8,11,5,124,7
