35,4,50
184,918,471,414
4,21,28,9,46
23,14,12,1,35
15,9,2,3,32
11,11,21,15,20
21,10,2,21,26
6,20,9,6,1
26,16,1,17,40
9,4,19,6,32
1,22,10,7,17
28,22,15,4,7
13,1,28,1,35
1,9,28,24,9
17,6,28,6,2
20,26,10,15,50
21,6,23,1,37
4,11,4,6,43
25,3,0,4,22
16,5,5,3,5
2,5,25,9,17
10,15,20,12,24
5,22,23,16,39
10,25,24,23,17
11,3,5,6,50
21,2,24,1,10
8,0,0,11,24
10,23,28,12,10
0,7,19,27,12
4,13,9,24,45
3,11,28,26,42
17,11,1,25,19
3,18,8,0,39
9,12,20,3,23
21,27,20,9,9
1,1,18,0,21
10,13,17,270,21
