55,5,50
215,196,562,360,288
10,3,2,6,15,5
16,7,2,8,11,6
2,18,13,7,17,16
3,16,6,9,5,46
7,6,16,2,9,21
4,0,2,17,17,18
4,12,9,11,9,12
11,3,6,4,7,48
0,8,10,9,6,9
9,5,0,16,10,16
1,11,14,17,15,38
7,6,13,12,16,23
9,0,6,14,2,50
17,15,1,5,11,9
15,6,16,8,8,3
9,18,1,5,13,6
9,8,14,17,9,8
6,7,8,10,16,0
7,5,7,0,16,42
7,9,2,2,5,16
8,4,7,0,10,43
17,1,4,1,8,46
14,4,6,10,0,6
9,12,0,15,3,29
1,2,1,1,6,37
18,6,10,0,8,35
16,5,9,0,12,29
6,18,0,18,7,41
2,6,6,10,16,37
0,11,15,3,3,9
7,9,18,11,16,2
13,15,5,9,10,21
15,12,10,13,14,23
3,18,15,6,4,27
1,12,18,8,6,17
5,0,12,7,17,28
2,8,5,1,4,46
4,16,0,16,6,35
15,13,7,16,8,21
13,11,1,13,5,21
7,1,17,6,8,28
9,18,0,18,15,34
18,13,16,17,18,48
1,14,6,3,9,31
2,3,2,8,1,39
0,7,4,11,15,17
5,5,4,0,7,22
0,4,7,6,0,30
5,4,5,2,0,49
0,13,5,6,17,13
2,10,9,6,15,25
3,12,4,18,1,34
16,15,4,6,2,6
10,11,17,12,7,26
0,9,9,12,9,5
