90,4,50
115,113,302,328
1,3,3,1,30
11,1,8,4,9
7,9,1,9,12
7,0,6,1,36
10,6,7,10,12
0,8,5,7,18
0,4,3,7,7
1,5,7,7,5
9,7,11,10,32
10,6,1,10,46
9,10,9,3,50
8,0,9,10,44
3,8,6,7,35
9,5,1,0,37
1,3,6,3,24
6,11,3,10,7
2,0,7,9,45
3,1,0,6,38
8,2,1,3,23
5,1,5,9,19
7,5,7,0,34
10,10,8,10,9
0,7,5,0,3
1,0,6,5,38
0,2,7,8,4
11,8,10,2,43
1,7,5,6,27
2,0,6,0,8
10,4,8,11,18
10,8,1,9,2
2,3,6,6,31
9,6,11,3,17
8,10,2,4,23
6,5,2,9,46
7,7,6,0,0
6,11,5,2,17
0,7,1,2,41
6,6,11,7,36
8,11,8,0,23
5,6,0,2,34
2,4,6,4,7
9,3,1,0,32
6,6,3,2,47
11,10,10,3,29
0,2,11,10,36
11,2,7,1,17
2,2,4,11,23
3,7,6,3,3
6,6,10,11,20
4,7,1,8,38
8,4,3,5,25
9,11,4,11,9
7,2,10,1,11
2,2,8,3,18
9,4,3,7,18
8,5,5,10,44
6,6,1,5,32
5,8,3,6,48
3,0,4,1,29
10,2,4,7,26
5,4,8,9,45
1,8,10,1,38
4,5,1,9,46
1,11,9,3,18
6,11,10,11,31
3,3,1,8,25
8,6,3,3,28
9,6,2,10,10
7,7,5,11,31
9,10,0,9,9
8,9,5,6,11
2,7,8,2,13
1,9,10,3,37
8,8,0,1,45
8,2,1,4,4
2,10,4,10,10
4,9,10,1,33
6,11,1,6,22
8,2,10,11,29
9,2,10,8,14
5,8,0,4,39
4,7,11,0,4
6,11,11,8,9
8,9,4,1,33
3,6,5,8,42
4,0,10,0,6
9,5,4,2,23
7,10,11,7,18
11,5,6,4,19
7,3,2,9,13
