70,4,50
674,51,201,861
6,5,9,12,29
1,10,5,9,15
1,6,3,11,24
12,8,9,12,29
13,14,14,7,26
6,9,6,0,34
12,7,8,12,29
14,14,14,12,23
5,0,13,5,39
13,0,3,8,48
9,9,5,14,21
0,2,11,11,41
2,12,2,13,5
7,7,0,2,36
4,13,6,7,28
2,9,11,14,23
6,13,3,9,39
9,7,3,4,18
2,4,13,7,43
11,10,4,0,32
10,7,11,4,28
6,0,1,0,7
6,1,11,13,45
2,2,3,1,22
3,2,8,7,34
13,12,6,11,47
6,13,6,14,30
12,11,4,14,0
1,14,14,4,5
2,3,8,1,44
8,14,13,5,27
14,5,13,7,1
3,4,13,13,2
1,12,10,10,23
5,3,6,1,19
5,5,10,13,22
13,10,9,10,33
4,10,5,11,45
12,14,12,13,6
2,7,0,14,31
8,1,14,0,3
7,8,6,7,4
12,13,11,7,4
11,2,0,9,47
10,14,7,7,3
13,5,4,7,46
9,8,10,5,27
11,5,6,3,34
13,10,9,2,12
6,10,4,11,32
2,12,5,8,37
10,10,1,9,21
11,5,2,3,10
6,11,3,6,41
11,2,14,8,5
6,6,8,0,32
13,13,12,10,26
13,9,8,9,3
11,1,9,1,18
10,3,5,0,50
14,4,13,6,42
14,9,3,2,36
12,0,3,13,40
0,13,0,4,48
1,3,13,11,11
2,12,4,5,20
1,0,1,0,25
5,8,4,7,48
7,3,1,10,45
3,1,14,3,14
