40,6,50
543,40,172,311,461,472
4,16,5,19,3,11,1
9,6,18,8,11,21,28
20,12,18,11,12,13,1
8,13,0,11,23,17,20
3,10,5,16,7,17,40
13,22,1,13,8,18,28
21,14,8,3,3,5,40
18,25,19,7,0,7,43
6,20,12,8,2,9,27
11,0,6,5,1,22,26
9,8,16,4,23,7,2
13,15,2,10,11,19,44
10,5,1,9,2,9,22
23,0,12,13,19,8,33
25,2,17,18,12,2,0
8,8,21,3,17,4,36
23,0,16,20,5,14,11
5,22,0,5,8,7,49
21,23,1,23,20,19,42
7,21,9,21,20,10,26
1,10,17,3,6,14,16
0,7,23,23,16,4,45
2,23,11,20,0,12,50
14,14,3,20,11,14,35
12,12,20,8,3,14,7
1,3,15,18,22,1,19
20,23,25,6,21,5,2
17,22,17,17,24,6,49
21,0,3,7,25,12,11
17,10,15,15,13,0,17
20,11,19,19,17,21,10
7,17,18,6,18,7,43
4,25,18,12,1,22,9
17,5,1,3,7,20,48
1,2,3,18,8,0,46
6,24,20,21,19,16,14
23,11,12,8,22,21,44
18,14,19,10,23,0,3
24,19,17,3,8,5,23
16,9,20,1,10,7,29
