95,3,50
850,695,67
2,3,10,21
1,0,5,7
4,3,0,42
1,1,8,38
6,6,10,25
3,6,2,42
4,4,7,2
6,9,3,15
4,6,1,13
0,3,5,29
2,8,5,1
0,3,0,50
2,6,5,13
5,0,5,27
10,0,1,2
2,1,2,27
2,4,2,33
0,0,2,18
9,10,3,44
8,1,1,18
1,0,5,49
0,1,3,9
5,7,3,39
9,5,1,36
1,9,6,45
2,3,1,35
8,4,6,8
2,9,10,34
1,5,7,31
8,3,2,37
2,7,4,28
3,4,2,10
8,2,4,9
10,7,7,19
1,7,2,36
3,5,0,43
3,7,3,8
6,7,8,22
8,8,1,33
9,4,10,31
6,9,4,9
8,4,9,27
6,4,10,11
8,8,6,5
7,5,8,26
4,8,1,10
2,6,10,37
4,9,10,34
0,0,1,3
3,6,8,20
1,8,0,20
3,6,9,42
0,10,9,1
6,7,5,5
10,2,0,25
3,9,1,45
5,3,9,20
1,6,8,22
4,1,5,19
8,10,3,3
5,0,2,27
4,3,2,27
2,4,4,2
10,9,6,23
4,3,5,11
6,5,1,16
4,10,0,37
9,10,7,33
8,9,2,39
1,0,10,24
3,3,6,22
9,10,7,39
1,7,9,27
2,10,10,23
5,1,4,1
3,7,8,1
8,8,8,23
8,7,6,8
4,0,9,10
7,0,8,44
9,2,1,13
3,3,0,46
7,7,6,36
7,8,10,47
3,0,8,15
8,10,1,27
7,8,6,15
3,4,8,31
1,7,8,42
4,3,4,23
2,1,7,15
7,1,4,37
1,10,6,46
9,10,9,11
2,9,228,34
