35,4,50
30,263,452,366
21,26,16,24,40
25,23,13,16,30
14,8,19,28,9
13,10,3,16,0
22,8,3,15,4
16,18,13,0,36
14,27,11,3,23
4,26,7,5,29
19,9,12,8,18
25,23,7,5,50
16,6,19,22,14
25,22,13,10,5
17,23,17,2,12
1,16,14,24,50
27,15,28,9,31
24,17,6,0,4
15,11,16,3,35
4,4,3,18,41
14,21,13,27,24
3,19,20,18,34
28,3,13,18,28
26,1,4,12,17
26,16,8,17,5
12,0,13,3,26
2,3,22,0,10
1,14,8,1,9
12,4,9,28,48
3,21,14,4,16
1,6,9,10,41
1,13,16,13,20
3,1,25,23,23
3,27,28,0,2
16,6,17,2,7
9,24,14,16,17
28,7,17,24,5
