60,3,50
972,817,848
9,12,0,24
12,13,1,45
9,13,0,35
0,7,15,0
1,15,1,24
7,14,2,1
2,9,6,37
10,4,2,23
8,4,10,47
2,5,2,32
2,10,9,50
4,3,4,3
16,16,4,13
5,3,8,46
7,8,12,1
5,5,3,50
0,4,1,50
8,15,7,26
2,3,14,29
6,15,3,26
1,10,16,21
11,12,13,20
8,5,7,18
9,14,13,18
3,14,0,2
14,1,8,5
16,15,4,23
12,5,9,25
5,9,10,40
16,13,14,34
0,3,2,26
0,2,13,24
6,13,12,44
2,1,7,38
10,5,5,5
10,6,12,38
0,6,8,29
16,7,5,5
3,14,7,30
14,14,2,21
6,12,8,32
0,5,11,42
9,9,10,17
11,5,3,33
10,0,4,47
2,2,12,34
12,11,12,32
0,8,7,20
2,7,5,19
13,3,9,20
10,8,6,19
11,13,2,39
7,10,14,15
4,10,4,1
12,9,13,26
14,12,14,39
9,12,9,3
0,5,2,35
4,8,8,16
6,3,1301,37
