85,5,50
844,220,269,297,416
0,10,9,11,6,40
3,7,7,9,4,35
7,3,5,0,10,14
2,9,3,3,6,26
10,10,8,10,4,16
2,2,8,0,7,14
1,8,4,5,5,12
10,11,0,6,8,0
10,8,6,6,9,2
8,5,10,1,5,27
9,1,10,0,6,7
8,11,3,10,1,37
0,6,5,3,6,8
11,3,11,10,9,21
9,11,6,8,9,9
10,3,5,0,11,25
5,10,11,9,11,47
4,5,2,7,7,25
8,8,8,3,6,24
2,6,11,10,6,35
11,5,8,6,3,35
2,3,2,10,3,43
6,9,3,4,7,23
6,10,11,2,2,23
3,8,4,4,4,17
1,11,2,0,9,12
1,11,9,0,9,28
10,4,3,3,9,40
4,8,0,9,2,49
4,2,9,0,1,36
0,1,11,2,0,10
7,2,8,10,1,13
5,4,11,1,7,23
6,9,1,1,11,26
10,5,4,5,9,32
0,6,2,8,9,15
5,0,4,4,11,15
3,4,10,2,10,2
6,9,10,7,9,26
9,10,7,11,9,21
10,5,1,2,3,13
5,2,6,11,6,5
10,10,1,3,5,42
6,6,11,4,5,12
9,2,8,9,0,40
7,10,9,3,0,26
11,1,9,10,2,39
0,7,3,0,5,43
10,3,5,8,3,47
11,5,4,11,3,16
9,8,6,7,1,5
1,3,1,5,7,44
3,7,9,0,8,11
1,7,4,11,10,31
9,3,4,5,3,10
9,5,3,4,6,25
11,5,4,1,5,14
1,2,2,6,3,44
9,2,7,1,8,33
10,9,2,7,0,6
1,8,8,7,6,48
4,8,7,1,1,20
4,7,6,3,9,13
5,6,7,11,6,6
5,1,3,0,1,13
3,7,11,8,11,16
1,11,2,8,4,44
0,5,2,1,9,0
8,9,7,6,5,21
9,11,4,11,2,2
7,0,1,11,1,1
6,3,5,10,5,42
3,10,9,4,2,16
8,8,6,1,1,27
5,7,2,11,9,15
7,3,7,10,3,28
6,5,5,4,5,29
1,6,3,8,9,39
5,9,2,5,4,9
11,3,4,6,4,49
3,8,11,8,3,16
11,7,7,2,0,6
10,3,11,4,9,27
2,7,6,4,7,14
10,4,5,11,8,14
