35,5,50
437,359,406,287,607
18,21,11,17,25,46
15,13,10,26,2,33
27,19,1,14,10,29
7,20,24,22,24,25
19,18,5,27,4,5
1,22,0,27,20,7
18,14,10,7,14,18
21,14,9,15,22,1
23,25,3,28,13,22
10,21,2,6,19,40
3,25,22,19,7,29
24,24,19,25,15,3
22,5,23,9,26,47
26,21,19,27,26,6
4,6,17,15,2,3
3,28,15,27,9,23
10,26,28,27,20,31
4,17,11,26,26,43
27,26,2,0,26,15
27,13,2,7,6,24
19,11,4,19,1,40
27,15,7,2,19,44
9,7,11,3,6,28
17,26,10,28,1,43
0,26,19,8,1,48
28,7,14,23,10,11
23,4,25,4,28,33
6,28,15,20,16,20
19,12,19,15,13,32
19,23,0,2,17,39
9,12,22,18,20,20
15,15,11,26,13,38
15,7,6,28,28,2
26,3,20,0,25,8
9,27,19,8,15,45
