40,5,50
436,595,981,997,808
0,17,21,6,0,6
19,11,24,11,1,38
25,5,15,18,10,38
15,1,25,13,0,43
0,23,2,2,6,16
8,18,22,15,0,1
0,9,11,23,14,15
7,7,8,1,3,6
13,22,11,0,19,13
6,18,22,16,13,17
14,3,21,15,4,39
20,7,19,6,20,30
7,8,18,0,1,12
9,9,24,4,8,36
24,21,21,0,19,13
2,18,23,6,14,18
8,24,8,4,3,0
14,7,20,1,22,39
20,18,17,8,5,41
8,15,17,10,20,18
24,10,12,25,9,12
17,4,7,5,12,7
22,19,7,24,21,33
9,2,24,22,19,7
2,1,5,5,5,26
16,2,21,18,4,18
25,4,11,8,25,14
20,9,18,5,4,8
4,23,13,19,9,27
11,5,6,2,5,41
22,16,18,2,21,17
13,24,19,3,25,33
12,16,5,21,12,4
3,24,12,22,12,19
25,9,4,18,8,12
14,25,0,25,13,31
24,22,18,14,5,17
22,7,7,5,24,40
13,24,14,22,19,36
24,23,20,25,1273,38
