80,5,50
535,83,421,811,861
4,9,7,4,10,49
8,12,1,11,10,7
11,5,1,8,6,35
1,1,5,0,12,49
8,5,1,5,6,48
7,4,3,11,7,7
7,5,11,11,1,11
10,10,4,3,5,48
5,0,4,1,5,44
2,5,6,1,2,36
11,2,0,11,9,37
9,12,6,11,2,20
3,9,10,6,12,44
7,12,1,1,11,32
9,10,12,2,4,1
1,7,12,6,3,31
12,4,3,1,10,2
10,2,7,11,10,42
6,1,9,1,10,26
11,7,3,5,2,13
4,12,3,5,8,34
5,9,3,1,2,42
7,2,7,7,7,32
7,0,7,10,0,41
3,12,9,1,12,0
0,11,8,5,5,8
9,2,4,10,12,40
10,5,10,0,2,33
9,1,0,5,12,27
4,7,7,6,6,48
6,8,5,10,5,46
1,6,2,3,1,12
9,6,7,5,10,32
10,3,10,12,12,17
0,4,7,3,9,27
6,9,5,11,4,46
12,4,6,5,0,15
3,5,11,1,1,13
5,3,0,2,5,43
7,2,12,10,4,0
8,0,9,11,1,49
10,6,5,1,10,3
5,6,7,4,1,31
3,12,11,2,12,22
11,10,1,11,11,42
10,12,4,6,10,39
2,12,7,9,6,33
5,9,12,9,3,17
6,5,4,12,3,16
6,0,8,4,9,19
3,1,5,6,4,50
7,5,0,0,11,16
5,5,5,7,0,5
11,3,6,10,11,14
8,11,3,9,3,24
12,7,6,8,11,39
5,0,10,11,8,1
0,6,1,6,4,10
6,12,6,3,5,48
9,2,6,6,0,30
7,6,6,3,12,46
5,5,11,8,0,36
2,1,5,1,12,29
7,10,1,3,4,40
2,6,6,6,1,1
3,3,12,12,1,11
1,2,3,0,11,33
7,2,5,11,12,16
11,2,9,8,12,2
1,12,11,8,12,12
10,10,4,2,6,28
0,10,9,2,6,32
0,12,11,4,4,7
11,4,5,11,12,47
8,11,12,8,4,1
11,1,11,8,11,43
4,6,0,3,3,2
3,0,10,5,7,23
2,6,12,10,1,48
5,5,10,3,270,42
