60,5,50
691,378,148,486,638
15,6,4,1,5,24
0,2,2,16,15,10
7,10,13,12,14,20
3,0,5,5,5,5
16,5,12,10,0,47
8,8,8,3,4,39
6,10,11,6,4,44
5,12,15,4,16,33
0,11,1,13,9,13
11,1,4,10,3,1
12,4,3,13,10,6
6,12,1,15,11,37
2,1,12,5,6,2
11,12,16,12,6,12
15,5,9,9,2,28
16,11,4,6,2,42
5,16,1,13,14,21
14,12,14,16,7,15
3,3,1,10,11,10
12,13,16,11,6,45
4,15,11,8,13,12
1,0,15,0,1,14
7,1,7,8,9,20
15,13,1,7,9,48
11,9,12,0,2,40
1,14,6,11,7,28
7,4,3,10,12,41
0,6,8,14,14,26
5,5,10,12,10,24
14,14,3,7,0,25
7,16,2,11,1,12
11,11,5,10,4,37
9,16,10,10,3,13
14,2,1,7,11,3
5,11,0,5,13,37
7,2,9,7,1,23
0,15,1,12,7,1
16,9,16,7,9,39
8,6,7,5,3,50
1,6,1,7,5,23
8,6,3,12,5,28
8,3,9,0,8,46
3,10,5,3,0,31
3,16,7,14,1,7
8,11,7,12,6,21
16,8,10,8,1,26
14,4,1,16,3,33
15,2,7,13,9,50
14,16,14,6,5,41
6,8,12,7,8,17
16,2,3,5,9,27
9,1,5,8,6,37
9,16,3,5,5,20
3,6,12,16,16,16
16,3,12,7,9,7
15,5,9,4,6,3
1,8,16,2,2,17
3,5,1,5,14,16
3,9,11,7,1,45
7,3,1,3,56,17
