95,3,50
721,525,596
0,5,4,42
9,9,2,34
6,1,8,9
4,3,7,46
8,10,5,48
9,2,1,28
5,5,8,20
6,10,3,42
0,8,2,0
7,9,10,39
0,5,1,34
9,10,3,39
2,5,2,34
8,10,3,45
6,3,0,1
4,9,10,41
8,0,8,31
7,10,3,47
6,9,0,31
10,2,5,25
9,10,1,16
4,4,2,10
0,10,6,3
6,9,2,46
10,1,0,17
1,7,1,26
8,7,10,12
5,1,10,14
6,8,7,10
6,0,9,33
5,9,2,33
0,10,2,20
3,1,6,36
10,8,4,1
9,5,2,8
7,5,0,48
8,6,6,33
5,4,9,5
3,8,7,43
1,6,9,11
10,3,2,11
5,1,8,31
4,10,5,16
4,7,0,26
1,3,6,40
5,3,8,25
5,4,1,4
5,1,7,21
7,2,0,11
8,0,8,29
6,0,3,8
8,2,0,6
5,3,1,8
8,8,2,23
8,8,1,34
9,9,2,37
7,8,5,47
5,7,7,41
3,0,1,48
3,9,1,2
8,7,8,35
9,1,3,10
10,4,4,19
3,3,10,49
0,8,5,24
8,8,9,46
0,2,4,15
2,1,10,10
8,1,7,13
2,6,3,9
0,7,4,39
1,1,1,32
1,5,2,20
7,0,3,30
9,3,0,16
0,6,3,32
9,5,1,25
4,10,2,44
3,4,6,44
0,5,8,44
1,3,0,31
2,7,10,35
4,1,2,48
3,1,5,3
8,8,6,29
2,1,8,50
7,3,7,29
7,4,8,47
8,9,10,45
8,8,5,10
8,7,5,26
6,9,0,41
2,1,5,50
4,3,7,15
7,8,434,7
